iid,pid,gender,age,age_o,samerace,importance_same_race,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,like,met,att_m,sin_m,int_m,fun_m,amb_m,sha_m,decision_o,like_o
169,143,0,28,33,1,2,8,21,21,15,17,19,8,9,9,8,8,8,18,20,18,16,16,13,7,9,7,8,7,7,9,9,8,8,8,7,0,8.3,8.3,8.7,8.1,7.9,7.6,1,8
170,143,0,28,33,0,2,8,21,21,15,17,19,5,5,9,6,7,8,16,21,19,19,14,12,7,8,6,9,8,5,7,7,5,7,3,4,0,4.3,7.5,8.5,4.9,7.6,5.3,0,4
171,143,0,29,33,1,1,8,21,21,15,17,19,8,9,9,7,8,8,20,11,20,20,20,11,10,10,10,10,10,5,8,9,6,7,9,6,0,5.6,8.1,8.5,5.7,7.5,4.9,1,9
158,144,0,23,23,1,3,16,16,16,18,18,16,4,6,7,4,7,4,19,19,19,19,10,14,7,9,7,9,6,9,9,9,7,7,8,9,0,4.3,6.4,7.4,3.7,6.5,3.8,0,4
159,144,0,28,23,1,7,16,16,16,18,18,16,4,7,8,5,7,4,16,20,20,20,11,11,5,9,8,9,7,8,8,8,8,7,9,9,0,5.2,7.6,8.6,6.4,7.4,5.6,0,4
160,144,0,29,23,0,3,16,16,16,18,18,16,7,8,8,8,8,7,16,18,18,18,14,16,8,8,9,8,9,6,8,9,9,9,7,7,0,7.3,7.4,7.6,8.4,8.1,6.2,0,7
161,144,0,22,23,1,6,16,16,16,18,18,16,8,8,8,10,7,9,17,19,19,19,19,8,8,7,9,9,7,6,8,10,9,3,1,5,1,7.9,7.4,8.1,7.9,7.3,6.4,1,9
162,144,0,27,23,0,1,16,16,16,18,18,16,7,7,8,8,7,7,15,15,20,17,13,20,7,8,7,9,8,8,7,7,7,7,5,8,1,6,6.8,7.7,5.8,6.9,5.7,1,9
163,144,0,26,23,1,1,16,16,16,18,18,16,6,7,7,8,7,7,12,20,20,20,16,12,7,8,8,9,7,8,8,8,6,6,5,6,0,6.9,7.7,7.6,7.1,7.1,6.8,0,7
164,144,0,27,23,1,1,16,16,16,18,18,16,8,8,7,7,6,7,21,23,21,18,3,15,7,9,6,9,4,7,7,9,7,6,5,7,0,7.8,8.5,8.8,7.2,7.5,6.5,0,8
165,144,0,30,23,1,4,16,16,16,18,18,16,7,6,6,5,6,5,17,12,21,19,12,19,8,6,7,9,2,7,8,10,8,7,6,7,0,7.1,6.9,6.7,5.3,5.7,5.1,0,6
167,144,0,23,23,1,1,16,16,16,18,18,16,6,7,8,7,7,7,19,14,19,16,16,16,6,7,7,7,5,4,6,5,4,5,6,3,0,6.2,6.9,7.5,6.8,6.7,5.8,0,6
168,144,0,23,23,0,1,16,16,16,18,18,16,5,5,6,6,5,5,11,18,18,18,18,18,5,5,5,5,5,8,8,8,8,8,8,7,1,4.5,7.4,7.5,6.3,6.2,5.4,0,5
169,144,0,28,23,1,2,16,16,16,18,18,16,7,7,8,8,6,7,18,20,18,16,16,13,7,9,7,8,7,8,7,8,9,7,9,8,1,8.3,8.3,8.7,8.1,7.9,7.6,1,7
171,144,0,29,23,1,1,16,16,16,18,18,16,5,7,8,7,7,6,20,11,20,20,20,11,10,10,10,10,10,8,9,9,9,8,10,8,0,5.6,8.1,8.5,5.7,7.5,4.9,0,6
172,144,0,27,23,1,5,16,16,16,18,18,16,5,8,7,7,8,7,18,18,22,20,16,7,5,6,9,8,9,4,7,8,5,6,4,4,0,6.9,8.1,8.1,7.6,8.1,7.2,0,7
173,144,0,22,23,1,5,16,16,16,18,18,16,6,7,8,6,7,6,18,18,20,20,16,6,7,9,9,9,9,5,7,6,6,6,5,4,0,6.3,7.7,8.4,7.4,7.5,6.8,0,6
158,145,0,23,24,1,3,11,18,23,18,11,18,7,10,10,7,9,8,19,19,19,19,10,14,7,9,7,9,6,9,8,9,7,7,8,9,0,4.3,6.4,7.4,3.7,6.5,3.8,0,8
159,145,0,28,24,1,7,11,18,23,18,11,18,7,10,10,10,10,8,16,20,20,20,11,11,5,9,8,9,7,8,8,8,7,7,9,8,0,5.2,7.6,8.6,6.4,7.4,5.6,0,8
160,145,0,29,24,0,3,11,18,23,18,11,18,8,10,7,10,7,5,16,18,18,18,14,16,8,8,9,8,9,4,8,9,4,10,3,5,0,7.3,7.4,7.6,8.4,8.1,6.2,0,7
161,145,0,22,24,1,6,11,18,23,18,11,18,10,9,9,9,8,7,17,19,19,19,19,8,8,7,9,9,7,6,8,10,7,5,3,4,1,7.9,7.4,8.1,7.9,7.3,6.4,1,9
162,145,0,27,24,0,1,11,18,23,18,11,18,9,9,9,8,9,8,15,15,20,17,13,20,7,8,7,9,8,5,6,7,7,6,5,6,1,6,6.8,7.7,5.8,6.9,5.7,0,8
163,145,0,26,24,1,1,11,18,23,18,11,18,9,9,8,7,9,7,12,20,20,20,16,12,7,8,8,9,7,6,7,6,8,5,3,5,0,6.9,7.7,7.6,7.1,7.1,6.8,1,9
165,145,0,30,24,1,4,11,18,23,18,11,18,8,8,7,7,5,4,17,12,21,19,12,19,8,6,7,9,2,6,8,9,6,8,5,6,0,7.1,6.9,6.7,5.3,5.7,5.1,0,2
167,145,0,23,24,1,1,11,18,23,18,11,18,10,9,9,8,7,4,19,14,19,16,16,16,6,7,7,7,5,2,6,6,4,5,5,3,0,6.2,6.9,7.5,6.8,6.7,5.8,0,8
168,145,0,23,24,0,1,11,18,23,18,11,18,6,9,8,8,7,10,11,18,18,18,18,18,5,5,5,5,5,7,7,7,7,7,7,7,0,4.5,7.4,7.5,6.3,6.2,5.4,0,8
169,145,0,28,24,1,2,11,18,23,18,11,18,9,7,9,7,7,5,18,20,18,16,16,13,7,9,7,8,7,7,9,9,8,9,8,8,1,8.3,8.3,8.7,8.1,7.9,7.6,0,7
170,145,0,28,24,0,2,11,18,23,18,11,18,8,10,9,7,7,10,16,21,19,19,14,12,7,8,6,9,8,6,7,6,6,6,8,6,0,4.3,7.5,8.5,4.9,7.6,5.3,0,9
171,145,0,29,24,1,1,11,18,23,18,11,18,9,9,9,7,8,5,20,11,20,20,20,11,10,10,10,10,10,6,8,9,5,8,3,6,0,5.6,8.1,8.5,5.7,7.5,4.9,0,8
172,145,0,27,24,1,5,11,18,23,18,11,18,9,9,9,7,8,7,18,18,22,20,16,7,5,6,9,8,9,2,7,9,2,4,2,3,0,6.9,8.1,8.1,7.6,8.1,7.2,1,9
173,145,0,22,24,1,5,11,18,23,18,11,18,8,10,10,10,10,10,18,18,20,20,16,6,7,9,9,9,9,4,6,6,5,5,5,4,0,6.3,7.7,8.4,7.4,7.5,6.8,1,10
164,146,0,27,36,1,1,18,18,18,18,14,14,10,9,10,10,8,8,21,23,21,18,3,15,7,9,6,9,4,9,10,10,8,8,8,10,1,7.8,8.5,8.8,7.2,7.5,6.5,1,10
158,147,0,23,26,0,3,18,18,20,18,16,10,5,5,8,5,5,5,19,19,19,19,10,14,7,9,7,9,6,9,7,7,9,8,6,8,0,4.3,6.4,7.4,3.7,6.5,3.8,0,5
159,147,0,28,26,0,7,18,18,20,18,16,10,5,6,8,5,5,4,16,20,20,20,11,11,5,9,8,9,7,6,6,6,6,6,3,5,0,5.2,7.6,8.6,6.4,7.4,5.6,0,5
160,147,0,29,26,0,3,18,18,20,18,16,10,8,6,7,8,9,7,16,18,18,18,14,16,8,8,9,8,9,8,10,9,8,8,7,6,1,7.3,7.4,7.6,8.4,8.1,6.2,1,8
161,147,0,22,26,0,6,18,18,20,18,16,10,7,6,7,6,6,5,17,19,19,19,19,8,8,7,9,9,7,7,8,9,10,6,6,4,0,7.9,7.4,8.1,7.9,7.3,6.4,1,6
162,147,0,27,26,1,1,18,18,20,18,16,10,5,6,6,6,5,4,15,15,20,17,13,20,7,8,7,9,8,5,7,7,8,7,5,5,0,6,6.8,7.7,5.8,6.9,5.7,0,5
163,147,0,26,26,0,1,18,18,20,18,16,10,7,8,8,7,7,8,12,20,20,20,16,12,7,8,8,9,7,7,9,7,8,7,8,6,0,6.9,7.7,7.6,7.1,7.1,6.8,1,8
164,147,0,27,26,0,1,18,18,20,18,16,10,6,8,8,6,6,5,21,23,21,18,3,15,7,9,6,9,4,9,6,6,8,6,5,6,0,7.8,8.5,8.8,7.2,7.5,6.5,0,5
165,147,0,30,26,0,4,18,18,20,18,16,10,7,7,7,5,6,5,17,12,21,19,12,19,8,6,7,9,2,7,8,8,10,8,5,8,0,7.1,6.9,6.7,5.3,5.7,5.1,1,6
167,147,0,23,26,0,1,18,18,20,18,16,10,6,6,6,6,6,5,19,14,19,16,16,16,6,7,7,7,5,3,6,5,8,2,4,5,0,6.2,6.9,7.5,6.8,6.7,5.8,0,6
168,147,0,23,26,1,1,18,18,20,18,16,10,4,8,8,4,4,3,11,18,18,18,18,18,5,5,5,5,5,4,7,8,7,5,7,5,0,4.5,7.4,7.5,6.3,6.2,5.4,0,4
170,147,0,28,26,1,2,18,18,20,18,16,10,4,7,8,4,6,4,16,21,19,19,14,12,7,8,6,9,8,7,7,7,6,6,7,6,0,4.3,7.5,8.5,4.9,7.6,5.3,0,5
171,147,0,29,26,0,1,18,18,20,18,16,10,4,7,9,4,6,3,20,11,20,20,20,11,10,10,10,10,10,5,6,7,9,7,4,9,0,5.6,8.1,8.5,5.7,7.5,4.9,0,5
173,147,0,22,26,0,5,18,18,20,18,16,10,6,8,8,8,4,5,18,18,20,20,16,6,7,9,9,9,9,5,7,5,6,6,4,4,0,6.3,7.7,8.4,7.4,7.5,6.8,0,6
158,148,0,23,27,0,3,15,17,17,19,19,13,4,8,8,2,6,1,19,19,19,19,10,14,7,9,7,9,6,9,8,8,7,7,7,8,0,4.3,6.4,7.4,3.7,6.5,3.8,0,1
160,148,0,29,27,0,3,15,17,17,19,19,13,7,5,7,8,8,6,16,18,18,18,14,16,8,8,9,8,9,7,8,8,8,8,7,7,0,7.3,7.4,7.6,8.4,8.1,6.2,0,5
161,148,0,22,27,0,6,15,17,17,19,19,13,5,8,8,5,5,1,17,19,19,19,19,8,8,7,9,9,7,6,6,8,5,7,5,5,0,7.9,7.4,8.1,7.9,7.3,6.4,0,4
162,148,0,27,27,1,1,15,17,17,19,19,13,6,8,8,4,9,7,15,15,20,17,13,20,7,8,7,9,8,6,6,7,7,6,7,6,0,6,6.8,7.7,5.8,6.9,5.7,0,8
163,148,0,26,27,0,1,15,17,17,19,19,13,7,9,9,8,8,7,12,20,20,20,16,12,7,8,8,9,7,8,8,8,7,6,5,7,0,6.9,7.7,7.6,7.1,7.1,6.8,1,8
165,148,0,30,27,0,4,15,17,17,19,19,13,6,7,6,1,5,2,17,12,21,19,12,19,8,6,7,9,2,8,8,9,6,9,5,8,0,7.1,6.9,6.7,5.3,5.7,5.1,0,1
167,148,0,23,27,0,1,15,17,17,19,19,13,3,8,8,5,8,2,19,14,19,16,16,16,6,7,7,7,5,6,5,6,5,4,3,5,0,6.2,6.9,7.5,6.8,6.7,5.8,0,6
168,148,0,23,27,1,1,15,17,17,19,19,13,2,8,8,4,2,2,11,18,18,18,18,18,5,5,5,5,5,7,8,8,6,6,5,7,0,4.5,7.4,7.5,6.3,6.2,5.4,0,5
170,148,0,28,27,1,2,15,17,17,19,19,13,3,8,8,4,8,1,16,21,19,19,14,12,7,8,6,9,8,6,6,7,5,8,5,6,0,4.3,7.5,8.5,4.9,7.6,5.3,0,4
171,148,0,29,27,0,1,15,17,17,19,19,13,4,8,8,7,8,5,20,11,20,20,20,11,10,10,10,10,10,7,7,7,6,8,6,8,0,5.6,8.1,8.5,5.7,7.5,4.9,0,9
172,148,0,27,27,0,5,15,17,17,19,19,13,7,8,8,10,10,7,18,18,22,20,16,7,5,6,9,8,9,7,4,6,9,8,4,6,1,6.9,8.1,8.1,7.6,8.1,7.2,0,9
173,148,0,22,27,0,5,15,17,17,19,19,13,7,9,9,5,8,2,18,18,20,20,16,6,7,9,9,9,9,5,8,5,7,6,5,5,0,6.3,7.7,8.4,7.4,7.5,6.8,0,7
159,149,0,28,28,1,7,9,19,19,19,19,15,4,7,8,4,6,7,16,20,20,20,11,11,5,9,8,9,7,8,9,7,7,7,6,7,0,5.2,7.6,8.6,6.4,7.4,5.6,0,4
161,149,0,22,28,1,6,9,19,19,19,19,15,8,6,8,8,6,8,17,19,19,19,19,8,8,7,9,9,7,7,6,7,5,8,7,7,0,7.9,7.4,8.1,7.9,7.3,6.4,0,7
163,149,0,26,28,1,1,9,19,19,19,19,15,5,6,6,4,4,4,12,20,20,20,16,12,7,8,8,9,7,8,8,8,7,7,6,8,0,6.9,7.7,7.6,7.1,7.1,6.8,0,5
167,149,0,23,28,1,1,9,19,19,19,19,15,4,6,7,7,5,8,19,14,19,16,16,16,6,7,7,7,5,6,6,6,5,4,4,7,0,6.2,6.9,7.5,6.8,6.7,5.8,0,5
169,149,0,28,28,1,2,9,19,19,19,19,15,8,7,8,7,7,8,18,20,18,16,16,13,7,9,7,8,7,9,8,9,8,8,8,9,0,8.3,8.3,8.7,8.1,7.9,7.6,1,7
172,149,0,27,28,1,5,9,19,19,19,19,15,7,7,7,6,6,6,18,18,22,20,16,7,5,6,9,8,9,6,4,7,5,6,7,6,0,6.9,8.1,8.1,7.6,8.1,7.2,1,7
160,150,0,29,31,0,3,12,20,20,20,14,14,9,7,7,7,7,2,16,18,18,18,14,16,8,8,9,8,9,7,10,9,8,8,3,7,0,7.3,7.4,7.6,8.4,8.1,6.2,0,7
161,150,0,22,31,1,6,12,20,20,20,14,14,8,5,8,8,8,7,17,19,19,19,19,8,8,7,9,9,7,8,8,10,8,6,5,6,0,7.9,7.4,8.1,7.9,7.3,6.4,0,7
162,150,0,27,31,0,1,12,20,20,20,14,14,6,6,7,6,6,5,15,15,20,17,13,20,7,8,7,9,8,6,9,8,5,6,3,5,0,6,6.8,7.7,5.8,6.9,5.7,0,7
167,150,0,23,31,1,1,12,20,20,20,14,14,7,7,8,8,8,8,19,14,19,16,16,16,6,7,7,7,5,7,5,6,7,5,4,6,0,6.2,6.9,7.5,6.8,6.7,5.8,1,7
169,150,0,28,31,1,2,12,20,20,20,14,14,9,9,9,9,9,7,18,20,18,16,16,13,7,9,7,8,7,7,8,9,7,9,8,8,0,8.3,8.3,8.7,8.1,7.9,7.6,1,9
170,150,0,28,31,0,2,12,20,20,20,14,14,5,6,9,6,9,3,16,21,19,19,14,12,7,8,6,9,8,6,7,7,7,6,7,6,0,4.3,7.5,8.5,4.9,7.6,5.3,0,8
158,151,0,23,28,1,3,15,16,18,18,16,16,4,5,5,1,3,1,19,19,19,19,10,14,7,9,7,9,6,10,8,8,9,7,6,9,0,4.3,6.4,7.4,3.7,6.5,3.8,0,2
161,151,0,22,28,1,6,15,16,18,18,16,16,9,7,8,8,7,7,17,19,19,19,19,8,8,7,9,9,7,10,8,8,9,8,5,8,0,7.9,7.4,8.1,7.9,7.3,6.4,0,9
162,151,0,27,28,0,1,15,16,18,18,16,16,9,8,7,7,6,9,15,15,20,17,13,20,7,8,7,9,8,8,7,7,7,6,9,9,0,6,6.8,7.7,5.8,6.9,5.7,1,8
163,151,0,26,28,1,1,15,16,18,18,16,16,7,5,7,8,7,7,12,20,20,20,16,12,7,8,8,9,7,8,9,8,7,6,5,8,0,6.9,7.7,7.6,7.1,7.1,6.8,0,7.5
165,151,0,30,28,1,4,15,16,18,18,16,16,8,5,5,4,6,5,17,12,21,19,12,19,8,6,7,9,2,10,9,8,10,7,3,6,0,7.1,6.9,6.7,5.3,5.7,5.1,0,4
167,151,0,23,28,1,1,15,16,18,18,16,16,6,3,6,5,4,7,19,14,19,16,16,16,6,7,7,7,5,8,8,5,4,3,4,7,0,6.2,6.9,7.5,6.8,6.7,5.8,0,3
168,151,0,23,28,0,1,15,16,18,18,16,16,6,3,7,4,5,4,11,18,18,18,18,18,5,5,5,5,5,9,8,7,7,8,7,8,0,4.5,7.4,7.5,6.3,6.2,5.4,0,4
170,151,0,28,28,0,2,15,16,18,18,16,16,3,8,8,3,7,2,16,21,19,19,14,12,7,8,6,9,8,8,7,7,8,7,5,7,0,4.3,7.5,8.5,4.9,7.6,5.3,0,4
172,151,0,27,28,1,5,15,16,18,18,16,16,7,8,7,6,7,8,18,18,22,20,16,7,5,6,9,8,9,8,7,8,6,8,6,6,0,6.9,8.1,8.1,7.6,8.1,7.2,0,7
173,151,0,22,28,1,5,15,16,18,18,16,16,8,7,8,9,6,10,18,18,20,20,16,6,7,9,9,9,9,9,8,7,8,7,7,8,0,6.3,7.7,8.4,7.4,7.5,6.8,1,9
158,152,0,23,27,0,3,14,20,20,14,18,14,6,7,7,6,8,6,19,19,19,19,10,14,7,9,7,9,6,9,9,8,7,7,6,8,0,4.3,6.4,7.4,3.7,6.5,3.8,0,6
160,152,0,29,27,0,3,14,20,20,14,18,14,6,8,7,7,7,4,16,18,18,18,14,16,8,8,9,8,9,7,9,10,6,9,3,5,0,7.3,7.4,7.6,8.4,8.1,6.2,0,6
161,152,0,22,27,0,6,14,20,20,14,18,14,8,8,8,8,9,9,17,19,19,19,19,8,8,7,9,9,7,7,10,9,6,5,2,6,0,7.9,7.4,8.1,7.9,7.3,6.4,1,8
165,152,0,30,27,0,4,14,20,20,14,18,14,8,8,7,8,8,9,17,12,21,19,12,19,8,6,7,9,2,8,9,10,5,9,5,7,0,7.1,6.9,6.7,5.3,5.7,5.1,1,9
168,152,0,23,27,1,1,14,20,20,14,18,14,4,7,7,6,7,5,11,18,18,18,18,18,5,5,5,5,5,7,7,7,7,7,6,7,0,4.5,7.4,7.5,6.3,6.2,5.4,0,6
169,152,0,28,27,0,2,14,20,20,14,18,14,8,9,9,8,8,6,18,20,18,16,16,13,7,9,7,8,7,10,9,8,7,8,6,8,0,8.3,8.3,8.7,8.1,7.9,7.6,1,8
173,152,0,22,27,0,5,14,20,20,14,18,14,5,8,8,6,7,7,18,18,20,20,16,6,7,9,9,9,9,5,5,5,5,5,5,5,0,6.3,7.7,8.4,7.4,7.5,6.8,0,7
162,153,0,27,28,1,1,10,20,20,15,20,17,5,5,7,6,7,6,15,15,20,17,13,20,7,8,7,9,8,5,7,6,3,7,3,4,0,6,6.8,7.7,5.8,6.9,5.7,1,5
163,153,0,26,28,0,1,10,20,20,15,20,17,8,8,8,8,6,7,12,20,20,20,16,12,7,8,8,9,7,8,10,8,8,8,6,8,0,6.9,7.7,7.6,7.1,7.1,6.8,1,8
158,154,0,23,27,1,3,15,17,17,17,17,15,5,8,10,5,8,7,19,19,19,19,10,14,7,9,7,9,6,9,9,7,8,7,6,8,0,4.3,6.4,7.4,3.7,6.5,3.8,0,5
159,154,0,28,27,1,7,15,17,17,17,17,15,6,8,9,8,9,5,16,20,20,20,11,11,5,9,8,9,7,7,8,7,7,8,6,7,0,5.2,7.6,8.6,6.4,7.4,5.6,0,7
160,154,0,29,27,0,3,15,17,17,17,17,15,9,9,9,9,9,9,16,18,18,18,14,16,8,8,9,8,9,8,8,8,7,8,7,7,0,7.3,7.4,7.6,8.4,8.1,6.2,0,8
161,154,0,22,27,1,6,15,17,17,17,17,15,10,8,9,9,8,6,17,19,19,19,19,8,8,7,9,9,7,9,9,8,9,7,6,8,0,7.9,7.4,8.1,7.9,7.3,6.4,1,8
162,154,0,27,27,0,1,15,17,17,17,17,15,5,8,8,7,7,2,15,15,20,17,13,20,7,8,7,9,8,7,6,7,6,7,3,4,0,6,6.8,7.7,5.8,6.9,5.7,0,5
163,154,0,26,27,1,1,15,17,17,17,17,15,9,9,8,9,8,6,12,20,20,20,16,12,7,8,8,9,7,8,10,8,8,7,5,7,0,6.9,7.7,7.6,7.1,7.1,6.8,1,8
165,154,0,30,27,1,4,15,17,17,17,17,15,7,9,7,5,5,4,17,12,21,19,12,19,8,6,7,9,2,10,8,8,8,10,3,5,0,7.1,6.9,6.7,5.3,5.7,5.1,0,5
167,154,0,23,27,1,1,15,17,17,17,17,15,8,8,8,8,8,8,19,14,19,16,16,16,6,7,7,7,5,5,7,7,6,6,6,6,0,6.2,6.9,7.5,6.8,6.7,5.8,0,8
168,154,0,23,27,0,1,15,17,17,17,17,15,5,9,7,5,7,5,11,18,18,18,18,18,5,5,5,5,5,8,8,8,8,8,8,9,0,4.5,7.4,7.5,6.3,6.2,5.4,0,5
169,154,0,28,27,1,2,15,17,17,17,17,15,9,9,9,9,8,9,18,20,18,16,16,13,7,9,7,8,7,10,9,9,9,9,10,10,0,8.3,8.3,8.7,8.1,7.9,7.6,1,8
170,154,0,28,27,0,2,15,17,17,17,17,15,6,10,10,5,9,6,16,21,19,19,14,12,7,8,6,9,8,6,6,7,5,7,7,6,0,4.3,7.5,8.5,4.9,7.6,5.3,0,6
171,154,0,29,27,1,1,15,17,17,17,17,15,8,9,9,8,8,8,20,11,20,20,20,11,10,10,10,10,10,9,7,8,8,10,5,8,0,5.6,8.1,8.5,5.7,7.5,4.9,1,8
172,154,0,27,27,1,5,15,17,17,17,17,15,9,10,10,10,10,8,18,18,22,20,16,7,5,6,9,8,9,7,8,8,5,6,6,6,1,6.9,8.1,8.1,7.6,8.1,7.2,1,8
173,154,0,22,27,1,5,15,17,17,17,17,15,9,9,10,9,9,7,18,18,20,20,16,6,7,9,9,9,9,6,7,6,7,6,6,7,0,6.3,7.7,8.4,7.4,7.5,6.8,1,8
158,155,0,23,27,1,3,15,19,19,17,17,13,2,6,7,2,7,2,19,19,19,19,10,14,7,9,7,9,6,10,9,9,8,7,7,9,0,4.3,6.4,7.4,3.7,6.5,3.8,0,2
161,155,0,22,27,1,6,15,19,19,17,17,13,8,7,7,8,7,5,17,19,19,19,19,8,8,7,9,9,7,7,8,8,10,7,6,7,0,7.9,7.4,8.1,7.9,7.3,6.4,1,7
162,155,0,27,27,0,1,15,19,19,17,17,13,2,4,6,4,6,3,15,15,20,17,13,20,7,8,7,9,8,6,5,3,4,7,3,4,0,6,6.8,7.7,5.8,6.9,5.7,0,3
163,155,0,26,27,1,1,15,19,19,17,17,13,6,7,6,6,5,7,12,20,20,20,16,12,7,8,8,9,7,8,6,6,6,6,7,7,0,6.9,7.7,7.6,7.1,7.1,6.8,0,6
165,155,0,30,27,1,4,15,19,19,17,17,13,7,6,5,6,4,5,17,12,21,19,12,19,8,6,7,9,2,9,9,8,6,5,5,6,0,7.1,6.9,6.7,5.3,5.7,5.1,0,5
167,155,0,23,27,1,1,15,19,19,17,17,13,5,5,6,6,6,3,19,14,19,16,16,16,6,7,7,7,5,6,6,5,4,4,3,6,0,6.2,6.9,7.5,6.8,6.7,5.8,0,4
168,155,0,23,27,0,1,15,19,19,17,17,13,3,6,4,6,6,3,11,18,18,18,18,18,5,5,5,5,5,7,7,7,7,7,7,7,0,4.5,7.4,7.5,6.3,6.2,5.4,0,4
169,155,0,28,27,1,2,15,19,19,17,17,13,8,8,8,7,8,6,18,20,18,16,16,13,7,9,7,8,7,9,8,8,8,8,8,8,0,8.3,8.3,8.7,8.1,7.9,7.6,1,8
170,155,0,28,27,0,2,15,19,19,17,17,13,2,8,8,3,8,6,16,21,19,19,14,12,7,8,6,9,8,6,7,7,6,6,6,6,0,4.3,7.5,8.5,4.9,7.6,5.3,0,8
171,155,0,29,27,1,1,15,19,19,17,17,13,4,7,7,4,8,5,20,11,20,20,20,11,10,10,10,10,10,10,8,8,8,9,6,8,0,5.6,8.1,8.5,5.7,7.5,4.9,0,5
172,155,0,27,27,1,5,15,19,19,17,17,13,5,8,8,6,7,7,18,18,22,20,16,7,5,6,9,8,9,5,6,6,4,5,5,5,0,6.9,8.1,8.1,7.6,8.1,7.2,0,6
173,155,0,22,27,1,5,15,19,19,17,17,13,3,8,8,4,8,6,18,18,20,20,16,6,7,9,9,9,9,6,7,7,8,7,5,6,0,6.3,7.7,8.4,7.4,7.5,6.8,0,5
158,156,0,23,30,0,3,14,18,16,18,18,16,4,7,10,3,10,3,19,19,19,19,10,14,7,9,7,9,6,9,8,8,8,7,6,8,0,4.3,6.4,7.4,3.7,6.5,3.8,0,3
160,156,0,29,30,1,3,14,18,16,18,18,16,7,10,10,9,10,10,16,18,18,18,14,16,8,8,9,8,9,8,10,8,9,9,10,8,1,7.3,7.4,7.6,8.4,8.1,6.2,1,8
161,156,0,22,30,0,6,14,18,16,18,18,16,8,9,10,7,9,5,17,19,19,19,19,8,8,7,9,9,7,7,9,10,8,8,4,5,0,7.9,7.4,8.1,7.9,7.3,6.4,1,8
162,156,0,27,30,0,1,14,18,16,18,18,16,7,6,10,3,8,10,15,15,20,17,13,20,7,8,7,9,8,5,7,7,5,9,6,6,0,6,6.8,7.7,5.8,6.9,5.7,0,4
163,156,0,26,30,0,1,14,18,16,18,18,16,6,9,10,7,10,8,12,20,20,20,16,12,7,8,8,9,7,8,9,9,8,8,8,8,0,6.9,7.7,7.6,7.1,7.1,6.8,1,7
164,156,0,27,30,0,1,14,18,16,18,18,16,7,9,10,6,10,6,21,23,21,18,3,15,7,9,6,9,4,8,8,10,7,9,5,7,0,7.8,8.5,8.8,7.2,7.5,6.5,0,6
165,156,0,30,30,0,4,14,18,16,18,18,16,8,5,10,7,8,6,17,12,21,19,12,19,8,6,7,9,2,7,8,7,7,8,6,6,0,7.1,6.9,6.7,5.3,5.7,5.1,0,5
167,156,0,23,30,0,1,14,18,16,18,18,16,6,9,10,6,9,4,19,14,19,16,16,16,6,7,7,7,5,7,6,6,5,6,4,6,0,6.2,6.9,7.5,6.8,6.7,5.8,0,6
168,156,0,23,30,0,1,14,18,16,18,18,16,6,9,10,9,10,5,11,18,18,18,18,18,5,5,5,5,5,7,8,8,7,7,6,6,0,4.5,7.4,7.5,6.3,6.2,5.4,0,7
169,156,0,28,30,0,2,14,18,16,18,18,16,7,9,10,8,9,10,18,20,18,16,16,13,7,9,7,8,7,8,8,10,8,10,8,8,0,8.3,8.3,8.7,8.1,7.9,7.6,1,9
170,156,0,28,30,0,2,14,18,16,18,18,16,4,8,10,3,10,8,16,21,19,19,14,12,7,8,6,9,8,6,8,8,7,8,8,6,0,4.3,7.5,8.5,4.9,7.6,5.3,0,3
171,156,0,29,30,0,1,14,18,16,18,18,16,5,8,10,2,9,2,20,11,20,20,20,11,10,10,10,10,10,6,8,9,9,10,4,6,0,5.6,8.1,8.5,5.7,7.5,4.9,0,2
172,156,0,27,30,0,5,14,18,16,18,18,16,5,9,10,8,10,7,18,18,22,20,16,7,5,6,9,8,9,6,8,7,7,8,7,7,0,6.9,8.1,8.1,7.6,8.1,7.2,1,8
173,156,0,22,30,0,5,14,18,16,18,18,16,6,9,10,9,9,7,18,18,20,20,16,6,7,9,9,9,9,7,7,7,7,7,6,6,0,6.3,7.7,8.4,7.4,7.5,6.8,1,8
158,157,0,23,28,0,3,14,16,16,18,18,16,2,3,3,2,3,1,19,19,19,19,10,14,7,9,7,9,6,9,8,8,7,6,5,7,0,4.3,6.4,7.4,3.7,6.5,3.8,0,1
160,157,0,29,28,0,3,14,16,16,18,18,16,7,6,7,10,9,8,16,18,18,18,14,16,8,8,9,8,9,10,8,8,9,9,8,8,1,7.3,7.4,7.6,8.4,8.1,6.2,0,7
161,157,0,22,28,0,6,14,16,16,18,18,16,7,7,6,7,6,7,17,19,19,19,19,8,8,7,9,9,7,8,8,8,9,7,6,6,0,7.9,7.4,8.1,7.9,7.3,6.4,1,6
162,157,0,27,28,1,1,14,16,16,18,18,16,3,5,7,2,5,2,15,15,20,17,13,20,7,8,7,9,8,5,5,6,6,7,3,5,0,6,6.8,7.7,5.8,6.9,5.7,0,1
