"iid","pid","gender","age","age_o","samerace","importance_same_race","pref_o_attractive","pref_o_sincere","pref_o_intelligence","pref_o_funny","pref_o_ambitious","pref_o_shared_interests","attractive_o","sinsere_o","intelligence_o","funny_o","ambitous_o","shared_interests_o","attractive_important","sincere_important","intellicence_important","funny_important","ambtition_important","shared_interests_important","attractive","sincere","intelligence","funny","ambition","attractive_partner","sincere_partner","intelligence_partner","funny_partner","ambition_partner","shared_interests_partner","like","met","decision_o","att_m","sin_m","int_m","fun_m","amb_m","sha_m","dec_m"
123,120,0,18,20,0,3,10,10,35,35,8,2,5,8,6,2,2,2,50,10,20,5,5,10,8,7,7,7,8,9,6,8,5,7,4,5,1,0,6.4,9,7.2,5.5,6.6,4.4,0.4
123,121,0,18,21,0,3,35,15,5,30,15,0,9,10,7,5,10,9,50,10,20,5,5,10,8,7,7,7,8,5,4,5,4,5,4,3,0,1,6.4,9,7.2,5.5,6.6,4.4,0.4
124,112,0,22,20,0,1,15,15,20,25,10,15,5,1,6,2,8,1,40,10,10,10,10,20,8,8,10,10,10,6,7,7,4,4,5,6,0,0,3.8,5.2,6.8,2.6,8.5,1.4,0
124,113,0,22,21,0,1,15,15,25,25,15,5,5,9,8,1,10,1,40,10,10,10,10,20,8,8,10,10,10,7,6,7,5,5,8,8,0,0,3.8,5.2,6.8,2.6,8.5,1.4,0
124,114,0,22,20,0,1,20,20,20,20,10,10,4,3,4,2,9,3,40,10,10,10,10,20,8,8,10,10,10,5,6,8,7,7,7,7,1,0,3.8,5.2,6.8,2.6,8.5,1.4,0
124,115,0,22,21,0,1,20,10,30,20,15,5,2,10,10,2,10,2,40,10,10,10,10,20,8,8,10,10,10,6,2,4,4,4,6,6,1,0,3.8,5.2,6.8,2.6,8.5,1.4,0
124,116,0,22,21,0,1,15,15,25,25,20,0,4,4,8,2,10,0,40,10,10,10,10,20,8,8,10,10,10,5,4,3,2,5,4,7,0,0,3.8,5.2,6.8,2.6,8.5,1.4,0
124,117,0,22,21,0,1,20,10,20,20,20,10,4,8,7,5,9,3,40,10,10,10,10,20,8,8,10,10,10,8,7,6,5,5,5,7,0,0,3.8,5.2,6.8,2.6,8.5,1.4,0
124,120,0,22,20,0,1,10,10,35,35,8,2,2,1,4,1,6,0,40,10,10,10,10,20,8,8,10,10,10,7,5,6,6,8,7,8,0,0,3.8,5.2,6.8,2.6,8.5,1.4,0
124,121,0,22,21,0,1,35,15,5,30,15,0,4,6,7,6,6,1,40,10,10,10,10,20,8,8,10,10,10,2,7,9,6,7,7,7,0,0,3.8,5.2,6.8,2.6,8.5,1.4,0
125,112,0,21,20,0,3,15,15,20,25,10,15,7,7,8,8,7,8,20,15,20,15,12,18,9,6,10,9,10,9,8,9,9,8,7,8,0,1,8,8.3,8.6,8.4,8.2,6.8,0.9
125,113,0,21,21,1,3,15,15,25,25,15,5,10,9,10,10,10,7,20,15,20,15,12,18,9,6,10,9,10,8,8,7,7,7,6,7,1,1,8,8.3,8.6,8.4,8.2,6.8,0.9
125,114,0,21,20,0,3,20,20,20,20,10,10,7,5,5,6,5,3,20,15,20,15,12,18,9,6,10,9,10,5,8,8,6,7,5,5,1,0,8,8.3,8.6,8.4,8.2,6.8,0.9
125,115,0,21,21,1,3,20,10,30,20,15,5,10,10,10,10,10,10,20,15,20,15,12,18,9,6,10,9,10,10,10,9,10,9,10,10,1,1,8,8.3,8.6,8.4,8.2,6.8,0.9
125,116,0,21,21,1,3,15,15,25,25,20,0,10,8,8,9,8,8,20,15,20,15,12,18,9,6,10,9,10,10,10,10,10,10,10,10,1,1,8,8.3,8.6,8.4,8.2,6.8,0.9
125,117,0,21,21,1,3,20,10,20,20,20,10,10,10,10,10,10,10,20,15,20,15,12,18,9,6,10,9,10,10,5,6,10,10,10,10,1,1,8,8.3,8.6,8.4,8.2,6.8,0.9
125,119,0,21,19,0,3,50,15,10,10,10,5,6,8,8,9,8,6,20,15,20,15,12,18,9,6,10,9,10,8,8,6,6,6,7,7,0,1,8,8.3,8.6,8.4,8.2,6.8,0.9
125,120,0,21,20,0,3,10,10,35,35,8,2,6,8,8,6,8,5,20,15,20,15,12,18,9,6,10,9,10,9,8,7,8,7,7,7,0,1,8,8.3,8.6,8.4,8.2,6.8,0.9
125,121,0,21,21,1,3,35,15,5,30,15,0,6,10,10,8,8,4,20,15,20,15,12,18,9,6,10,9,10,4,6,6,5,4,2,3,0,1,8,8.3,8.6,8.4,8.2,6.8,0.9
126,112,0,22,20,0,7,15,15,20,25,10,15,5,7,9,6,8,7,25,40,15,10,5,5,9,10,9,9,9,7,8,7,6,6,6,6,0,1,6.2,8.5,8.6,6.8,8.1,6.4,0.4
126,113,0,22,21,1,7,15,15,25,25,15,5,6,9,8,7,7,6,25,40,15,10,5,5,9,10,9,9,9,6,8,9,9,8,6,7,0,1,6.2,8.5,8.6,6.8,8.1,6.4,0.4
126,114,0,22,20,0,7,20,20,20,20,10,10,5,6,5,5,5,7,25,40,15,10,5,5,9,10,9,9,9,6,7,7,6,7,7,6,0,0,6.2,8.5,8.6,6.8,8.1,6.4,0.4
126,115,0,22,21,1,7,20,10,30,20,15,5,6,10,10,8,10,6,25,40,15,10,5,5,9,10,9,9,9,5,7,6,6,6,5,5,0,0,6.2,8.5,8.6,6.8,8.1,6.4,0.4
126,116,0,22,21,1,7,15,15,25,25,20,0,6,9,10,7,9,4,25,40,15,10,5,5,9,10,9,9,9,7,6,8,9,7,7,7,1,0,6.2,8.5,8.6,6.8,8.1,6.4,0.4
126,117,0,22,21,1,7,20,10,20,20,20,10,6,10,9,7,8,6,25,40,15,10,5,5,9,10,9,9,9,7,7,7,7,7,8,7,0,0,6.2,8.5,8.6,6.8,8.1,6.4,0.4
126,120,0,22,20,0,7,10,10,35,35,8,2,8,10,8,7,8,6,25,40,15,10,5,5,9,10,9,9,9,7,7,7,7,6,8,7,0,0,6.2,8.5,8.6,6.8,8.1,6.4,0.4
126,121,0,22,21,1,7,35,15,5,30,15,0,8,7,10,7,10,9,25,40,15,10,5,5,9,10,9,9,9,4,8,7,6,6,5,5,0,1,6.2,8.5,8.6,6.8,8.1,6.4,0.4
127,112,0,22,20,0,1,15,15,20,25,10,15,10,6,7,8,8,8,25,25,25,15,5,5,8,8,9,9,8,10,7,9,10,8,10,10,1,1,7.3,5.9,6.1,6.1,6.1,5.1,0.6
127,113,0,22,21,1,1,15,15,25,25,15,5,9,9,8,10,7,8,25,25,25,15,5,5,8,8,9,9,8,5,5,5,5,5,5,5,0,1,7.3,5.9,6.1,6.1,6.1,5.1,0.6
127,114,0,22,20,0,1,20,20,20,20,10,10,2,3,2,2,6,2,25,25,25,15,5,5,8,8,9,9,8,5,7,7,2,5,2,3,0,0,7.3,5.9,6.1,6.1,6.1,5.1,0.6
127,115,0,22,21,1,1,20,10,30,20,15,5,8,5,9,9,10,8,25,25,25,15,5,5,8,8,9,9,8,7,3,7,10,7,8,7,1,1,7.3,5.9,6.1,6.1,6.1,5.1,0.6
127,116,0,22,21,1,1,15,15,25,25,20,0,8,6,6,7,5,6,25,25,25,15,5,5,8,8,9,9,8,7,7,7,7,5,5,7,0,1,7.3,5.9,6.1,6.1,6.1,5.1,0.6
127,117,0,22,21,1,1,20,10,20,20,20,10,8,6,7,6,8,5,25,25,25,15,5,5,8,8,9,9,8,7,7,8,8,10,6,7,0,0,7.3,5.9,6.1,6.1,6.1,5.1,0.6
127,119,0,22,19,0,1,50,15,10,10,10,5,8,10,9,10,8,7,25,25,25,15,5,5,8,8,9,9,8,9,8,8,6,7,3,8,0,1,7.3,5.9,6.1,6.1,6.1,5.1,0.6
127,120,0,22,20,0,1,10,10,35,35,8,2,9,4,5,2,2,1,25,25,25,15,5,5,8,8,9,9,8,8,5,7,8,5,6,7,0,0,7.3,5.9,6.1,6.1,6.1,5.1,0.6
127,121,0,22,21,1,1,35,15,5,30,15,0,4,4,2,1,1,1,25,25,25,15,5,5,8,8,9,9,8,5,8,7,0,5,0,4,0,0,7.3,5.9,6.1,6.1,6.1,5.1,0.6
128,112,0,21,20,0,3,15,15,20,25,10,15,9,10,8,8,7,9,40,15,10,20,10,5,8,7,7,8,7,10,9,8,9,9,7,9,0,1,7.9,8.6,8.1,6.9,6.6,5,0.8
128,113,0,21,21,1,3,15,15,25,25,15,5,6,10,9,8,7,4,40,15,10,20,10,5,8,7,7,8,7,7,9,9,8,8,8,7,0,1,7.9,8.6,8.1,6.9,6.6,5,0.8
128,114,0,21,20,0,3,20,20,20,20,10,10,8,6,7,8,7,5,40,15,10,20,10,5,8,7,7,8,7,7,9,9,8,8,7,7,0,1,7.9,8.6,8.1,6.9,6.6,5,0.8
128,115,0,21,21,1,3,20,10,30,20,15,5,9,10,9,8,8,7,40,15,10,20,10,5,8,7,7,8,7,9,7,6,10,8,7,8,0,1,7.9,8.6,8.1,6.9,6.6,5,0.8
128,116,0,21,21,1,3,15,15,25,25,20,0,7,8,8,6,6,3,40,15,10,20,10,5,8,7,7,8,7,7,7,7,7,8,6,6,0,0,7.9,8.6,8.1,6.9,6.6,5,0.8
128,117,0,21,21,1,3,20,10,20,20,20,10,7,8,6,6,6,6,40,15,10,20,10,5,8,7,7,8,7,8,8,9,9,7,7,8,0,0,7.9,8.6,8.1,6.9,6.6,5,0.8
128,120,0,21,20,0,3,10,10,35,35,8,2,8,7,8,6,5,2,40,15,10,20,10,5,8,7,7,8,7,8,8,10,10,8,7,8,0,1,7.9,8.6,8.1,6.9,6.6,5,0.8
128,121,0,21,21,1,3,35,15,5,30,15,0,9,10,10,5,7,4,40,15,10,20,10,5,8,7,7,8,7,6,9,7,7,8,7,5,0,1,7.9,8.6,8.1,6.9,6.6,5,0.8
131,112,0,19,20,0,4,15,15,20,25,10,15,2,7,6,2,5,1,25,10,20,20,10,15,4,6,4,6,6,5,5,5,5,5,5,5,0,0,4.8,8,6.8,4.3,6.3,1.5,0.2
131,113,0,19,21,0,4,15,15,25,25,15,5,4,9,8,3,6,2,25,10,20,20,10,15,4,6,4,6,6,5,5,5,5,5,5,5,0,0,4.8,8,6.8,4.3,6.3,1.5,0.2
131,114,0,19,20,0,4,20,20,20,20,10,10,5,6,4,5,3,3,25,10,20,20,10,15,4,6,4,6,6,5,5,5,5,5,5,5,0,0,4.8,8,6.8,4.3,6.3,1.5,0.2
131,116,0,19,21,0,4,15,15,25,25,20,0,4,8,7,3,7,0,25,10,20,20,10,15,4,6,4,6,6,5,5,5,5,5,5,5,0,0,4.8,8,6.8,4.3,6.3,1.5,0.2
131,120,0,19,20,0,4,10,10,35,35,8,2,7,8,6,5,7,2,25,10,20,20,10,15,4,6,4,6,6,6,6,7,6,6,2,5,0,0,4.8,8,6.8,4.3,6.3,1.5,0.2
131,121,0,19,21,0,4,35,15,5,30,15,0,7,10,10,8,10,1,25,10,20,20,10,15,4,6,4,6,6,7,5,10,6,7,2,2,0,1,4.8,8,6.8,4.3,6.3,1.5,0.2
132,137,1,27,26,0,10,17,17,15,17,13,20,8,8,9,8,9,7,17,17,17,17,17,17,8,10,10,9,10,7,9,7,9,6,9,8,1,1,7.8,7.2,6.8,7,7.2,6.5,1
132,138,1,27,32,1,10,20,20,20,20,7,13,8,7,4,6,6,4,17,17,17,17,17,17,8,10,10,9,10,8,8,8,8,8,8,8,0,1,7.8,7.2,6.8,7,7.2,6.5,1
132,140,1,27,29,1,10,19,16,19,19,12,16,7,7,7,7,7,7,17,17,17,17,17,17,8,10,10,9,10,8,9,9,9,9,8,9,1,1,7.8,7.2,6.8,7,7.2,6.5,1
132,141,1,27,28,0,10,21,21,17,17,6,19,8,7,7,7,7,8,17,17,17,17,17,17,8,10,10,9,10,5,8,8,8,7,7,7,1,1,7.8,7.2,6.8,7,7.2,6.5,1
133,137,1,24,26,1,8,17,17,15,17,13,20,6,10,10,6,7,5,13,19,17,17,15,19,6,8,7,8,7,7,7,7,8,6,8,7,0,0,5,9.2,8.8,7.5,7.2,4.2,0.2
133,138,1,24,32,0,8,20,20,20,20,7,13,3,8,8,9,8,1,13,19,17,17,15,19,6,8,7,8,7,7,6,8,7,8,6,6,0,0,5,9.2,8.8,7.5,7.2,4.2,0.2
133,140,1,24,29,0,8,19,16,19,19,12,16,5,9,8,6,8,6,13,19,17,17,15,19,6,8,7,8,7,8,7,7,8,8,7,7,0,0,5,9.2,8.8,7.5,7.2,4.2,0.2
133,141,1,24,28,0,8,21,21,17,17,6,19,6,10,9,9,6,5,13,19,17,17,15,19,6,8,7,8,7,5,6,5,7,5,6,5,0,1,5,9.2,8.8,7.5,7.2,4.2,0.2
134,137,1,23,26,0,8,17,17,15,17,13,20,9,9,9,8,8,7,7,20,20,18,20,16,7,8,8,8,8,8,9,7,9,10,8,9,0,1,6.3,8.3,8.3,5.7,7,4.3,0.7
134,138,1,23,32,1,8,20,20,20,20,7,13,3,8,8,2,7,1,7,20,20,18,20,16,7,8,8,8,8,7,8,9,8,7,8,7,0,0,6.3,8.3,8.3,5.7,7,4.3,0.7
134,141,1,23,28,0,8,21,21,17,17,6,19,7,8,8,7,6,5,7,20,20,18,20,16,7,8,8,8,8,6,5,6,5,6,4,5,0,1,6.3,8.3,8.3,5.7,7,4.3,0.7
137,132,0,26,27,0,1,17,17,17,17,17,17,7,9,7,9,6,9,17,17,15,17,13,20,7,9,8,9,8,8,8,9,8,9,7,7,1,0,7.3,8.3,7,8.7,7.3,8.3,0.3
137,133,0,26,24,1,1,13,19,17,17,15,19,7,7,7,8,6,8,17,17,15,17,13,20,7,9,8,9,8,6,10,10,6,7,5,7,0,0,7.3,8.3,7,8.7,7.3,8.3,0.3
137,134,0,26,23,0,1,7,20,20,18,20,16,8,9,7,9,10,8,17,17,15,17,13,20,7,9,8,9,8,9,9,9,8,8,7,9,0,1,7.3,8.3,7,8.7,7.3,8.3,0.3
138,132,0,32,27,1,9,17,17,17,17,17,17,8,8,8,8,8,8,20,20,20,20,7,13,8,8,8,8,8,8,7,4,6,6,4,8,0,0,7.3,7.3,8.3,7.7,7.7,7.3,0.3
138,133,0,32,24,0,9,13,19,17,17,15,19,7,6,8,7,8,6,20,20,20,20,7,13,8,8,8,8,8,3,8,8,9,8,1,1,0,0,7.3,7.3,8.3,7.7,7.7,7.3,0.3
138,134,0,32,23,1,9,7,20,20,18,20,16,7,8,9,8,7,8,20,20,20,20,7,13,8,8,8,8,8,3,8,8,2,7,1,1,0,1,7.3,7.3,8.3,7.7,7.7,7.3,0.3
140,132,0,29,27,1,5,17,17,17,17,17,17,8,9,9,9,9,8,19,16,19,19,12,16,7,7,9,8,8,7,7,7,7,7,7,7,1,1,8,8,8,8.5,8.5,7.5,0.5
140,133,0,29,24,0,5,13,19,17,17,15,19,8,7,7,8,8,7,19,16,19,19,12,16,7,7,9,8,8,5,9,8,6,8,6,6,0,0,8,8,8,8.5,8.5,7.5,0.5
141,132,0,28,27,0,4,17,17,17,17,17,17,5,8,8,8,7,7,21,21,17,17,6,19,7,9,8,8,6,8,7,7,7,7,8,7,1,0,5.3,6.3,6.3,6.7,6,5.7,0
141,133,0,28,24,0,4,13,19,17,17,15,19,5,6,5,7,5,6,21,21,17,17,6,19,7,9,8,8,6,6,10,9,9,6,5,8,0,0,5.3,6.3,6.3,6.7,6,5.7,0
141,134,0,28,23,0,4,7,20,20,18,20,16,6,5,6,5,6,4,21,21,17,17,6,19,7,9,8,8,6,7,8,8,7,6,5,7,0,0,5.3,6.3,6.3,6.7,6,5.7,0
142,158,1,24,23,1,1,19,19,19,19,10,14,10,8,8,7,7,5,14,14,21,21,19,10,9,9,9,10,7,4,5,6,4,6,4,4,0,1,7.7,7.3,7.6,6.9,6.3,5.8,0.7
142,161,1,24,22,1,1,17,19,19,19,19,8,8,7,8,7,6,4,14,14,21,21,19,10,9,9,9,10,7,10,10,9,8,8,7,9,0,0,7.7,7.3,7.6,6.9,6.3,5.8,0.7
142,162,1,24,27,0,1,15,15,20,17,13,20,6,7,7,6,6,5,14,14,21,21,19,10,9,9,9,10,7,8,10,9,8,8,5,8,1,0,7.7,7.3,7.6,6.9,6.3,5.8,0.7
142,163,1,24,26,1,1,12,20,20,20,16,12,7,7,7,5,6,5,14,14,21,21,19,10,9,9,9,10,7,6,8,8,8,8,7,8,1,0,7.7,7.3,7.6,6.9,6.3,5.8,0.7
142,165,1,24,30,1,1,17,12,21,19,12,19,8,8,9,7,8,6,14,14,21,21,19,10,9,9,9,10,7,6,8,7,6,5,7,7,0,0,7.7,7.3,7.6,6.9,6.3,5.8,0.7
142,167,1,24,23,1,1,19,14,19,16,16,16,7,6,7,6,4,4,14,14,21,21,19,10,9,9,9,10,7,8,8,8,8,8,8,8,0,1,7.7,7.3,7.6,6.9,6.3,5.8,0.7
142,168,1,24,23,0,1,11,18,18,18,18,18,8,8,7,7,7,8,14,14,21,21,19,10,9,9,9,10,7,6,9,9,10,9,10,10,0,1,7.7,7.3,7.6,6.9,6.3,5.8,0.7
142,169,1,24,28,1,1,18,20,18,16,16,13,8,8,9,8,7,8,14,14,21,21,19,10,9,9,9,10,7,10,10,10,10,10,10,10,0,1,7.7,7.3,7.6,6.9,6.3,5.8,0.7
142,170,1,24,28,0,1,16,21,19,19,14,12,7,7,7,7,5,7,14,14,21,21,19,10,9,9,9,10,7,4,7,7,9,8,7,9,0,1,7.7,7.3,7.6,6.9,6.3,5.8,0.7
142,171,1,24,29,1,1,20,11,20,20,20,11,7,8,9,9,8,7,14,14,21,21,19,10,9,9,9,10,7,4,10,9,5,6,2,7,0,1,7.7,7.3,7.6,6.9,6.3,5.8,0.7
142,172,1,24,27,1,1,18,18,22,20,16,7,8,7,6,7,7,6,14,14,21,21,19,10,9,9,9,10,7,8,7,8,8,8,8,8,0,1,7.7,7.3,7.6,6.9,6.3,5.8,0.7
142,173,1,24,22,1,1,18,18,20,20,16,6,8,7,7,7,5,5,14,14,21,21,19,10,9,9,9,10,7,6,4,8,9,9,9,8,0,1,7.7,7.3,7.6,6.9,6.3,5.8,0.7
143,160,1,33,29,0,6,16,18,18,18,14,16,4,9,7,5,8,3,8,21,21,15,17,19,7,10,7,8,7,5,5,7,8,7,4,5,0,0,5.2,8.5,7.8,5.8,7.7,5.5,0
143,161,1,33,22,1,6,17,19,19,19,19,8,5,10,8,5,10,6,8,21,21,15,17,19,7,10,7,8,7,5,6,8,9,8,6,8,0,0,5.2,8.5,7.8,5.8,7.7,5.5,0
143,163,1,33,26,1,6,12,20,20,20,16,12,5,8,7,6,6,4,8,21,21,15,17,19,7,10,7,8,7,9,8,9,8,9,8,8,1,0,5.2,8.5,7.8,5.8,7.7,5.5,0
143,169,1,33,28,1,6,18,20,18,16,16,13,7,9,9,8,8,8,8,21,21,15,17,19,7,10,7,8,7,8,9,9,8,8,8,8,0,0,5.2,8.5,7.8,5.8,7.7,5.5,0
143,170,1,33,28,0,6,16,21,19,19,14,12,5,7,7,5,7,3,8,21,21,15,17,19,7,10,7,8,7,5,5,9,6,7,8,4,0,0,5.2,8.5,7.8,5.8,7.7,5.5,0
143,171,1,33,29,1,6,20,11,20,20,20,11,5,8,9,6,7,9,8,21,21,15,17,19,7,10,7,8,7,8,9,9,7,8,8,9,0,0,5.2,8.5,7.8,5.8,7.7,5.5,0
144,158,1,23,23,1,5,19,19,19,19,10,14,9,9,9,7,7,8,16,16,16,18,18,16,7,8,8,9,9,4,6,7,4,7,4,4,0,1,6.9,7.6,8.1,7.3,6.6,6.3,0.4
144,159,1,23,28,1,5,16,20,20,20,11,11,8,8,8,8,7,9,16,16,16,18,18,16,7,8,8,9,9,4,7,8,5,7,4,4,0,1,6.9,7.6,8.1,7.3,6.6,6.3,0.4
144,160,1,23,29,0,5,16,18,18,18,14,16,6,8,9,9,9,7,16,16,16,18,18,16,7,8,8,9,9,7,8,8,8,8,7,7,0,0,6.9,7.6,8.1,7.3,6.6,6.3,0.4
144,161,1,23,22,1,5,17,19,19,19,19,8,6,8,10,9,3,1,16,16,16,18,18,16,7,8,8,9,9,8,8,8,10,7,9,9,1,0,6.9,7.6,8.1,7.3,6.6,6.3,0.4
144,162,1,23,27,0,5,15,15,20,17,13,20,8,7,7,7,7,5,16,16,16,18,18,16,7,8,8,9,9,7,7,8,8,7,7,9,1,1,6.9,7.6,8.1,7.3,6.6,6.3,0.4
144,163,1,23,26,1,5,12,20,20,20,16,12,8,8,8,6,6,5,16,16,16,18,18,16,7,8,8,9,9,6,7,7,8,7,7,7,0,0,6.9,7.6,8.1,7.3,6.6,6.3,0.4
144,164,1,23,27,1,5,21,23,21,18,3,15,7,7,9,7,6,5,16,16,16,18,18,16,7,8,8,9,9,8,8,7,7,6,7,8,0,0,6.9,7.6,8.1,7.3,6.6,6.3,0.4
144,165,1,23,30,1,5,17,12,21,19,12,19,7,8,10,8,7,6,16,16,16,18,18,16,7,8,8,9,9,7,6,6,5,6,5,6,0,0,6.9,7.6,8.1,7.3,6.6,6.3,0.4
144,167,1,23,23,1,5,19,14,19,16,16,16,4,6,5,4,5,6,16,16,16,18,18,16,7,8,8,9,9,6,7,8,7,7,7,6,0,0,6.9,7.6,8.1,7.3,6.6,6.3,0.4
144,168,1,23,23,0,5,11,18,18,18,18,18,8,8,8,8,8,8,16,16,16,18,18,16,7,8,8,9,9,5,5,6,6,5,5,5,1,1,6.9,7.6,8.1,7.3,6.6,6.3,0.4
144,169,1,23,28,1,5,18,20,18,16,16,13,8,7,8,9,7,9,16,16,16,18,18,16,7,8,8,9,9,7,7,8,8,6,7,7,1,0,6.9,7.6,8.1,7.3,6.6,6.3,0.4
144,171,1,23,29,1,5,20,11,20,20,20,11,8,9,9,9,8,10,16,16,16,18,18,16,7,8,8,9,9,5,7,8,7,7,6,6,0,1,6.9,7.6,8.1,7.3,6.6,6.3,0.4
144,172,1,23,27,1,5,18,18,22,20,16,7,4,7,8,5,6,4,16,16,16,18,18,16,7,8,8,9,9,5,8,7,7,8,7,7,0,0,6.9,7.6,8.1,7.3,6.6,6.3,0.4
144,173,1,23,22,1,5,18,18,20,20,16,6,5,7,6,6,6,5,16,16,16,18,18,16,7,8,8,9,9,6,7,8,6,7,6,6,0,0,6.9,7.6,8.1,7.3,6.6,6.3,0.4
145,158,1,24,23,1,9,19,19,19,19,10,14,9,8,9,7,7,8,11,18,23,18,11,18,5,5,7,9,7,7,10,10,7,9,8,8,0,1,5.6,7.4,7.9,5.9,6.6,5.3,0.4
145,159,1,24,28,1,9,16,20,20,20,11,11,8,8,8,7,7,9,11,18,23,18,11,18,5,5,7,9,7,7,10,10,10,10,8,8,0,1,5.6,7.4,7.9,5.9,6.6,5.3,0.4
145,160,1,24,29,0,9,16,18,18,18,14,16,4,8,9,4,10,3,11,18,23,18,11,18,5,5,7,9,7,8,10,7,10,7,5,7,0,0,5.6,7.4,7.9,5.9,6.6,5.3,0.4
145,161,1,24,22,1,9,17,19,19,19,19,8,6,8,10,7,5,3,11,18,23,18,11,18,5,5,7,9,7,10,9,9,9,8,7,9,1,0,5.6,7.4,7.9,5.9,6.6,5.3,0.4
145,162,1,24,27,0,9,15,15,20,17,13,20,5,6,7,7,6,5,11,18,23,18,11,18,5,5,7,9,7,9,9,9,8,9,8,8,1,0,5.6,7.4,7.9,5.9,6.6,5.3,0.4
145,163,1,24,26,1,9,12,20,20,20,16,12,6,7,6,8,5,3,11,18,23,18,11,18,5,5,7,9,7,9,9,8,7,9,7,9,0,0,5.6,7.4,7.9,5.9,6.6,5.3,0.4
145,165,1,24,30,1,9,17,12,21,19,12,19,6,8,9,6,8,5,11,18,23,18,11,18,5,5,7,9,7,8,8,7,7,5,4,2,0,0,5.6,7.4,7.9,5.9,6.6,5.3,0.4
145,167,1,24,23,1,9,19,14,19,16,16,16,2,6,6,4,5,5,11,18,23,18,11,18,5,5,7,9,7,10,9,9,8,7,4,8,0,0,5.6,7.4,7.9,5.9,6.6,5.3,0.4
145,168,1,24,23,0,9,11,18,18,18,18,18,7,7,7,7,7,7,11,18,23,18,11,18,5,5,7,9,7,6,9,8,8,7,10,8,0,1,5.6,7.4,7.9,5.9,6.6,5.3,0.4
145,169,1,24,28,1,9,18,20,18,16,16,13,7,9,9,8,9,8,11,18,23,18,11,18,5,5,7,9,7,9,7,9,7,7,5,7,1,0,5.6,7.4,7.9,5.9,6.6,5.3,0.4
145,170,1,24,28,0,9,16,21,19,19,14,12,6,7,6,6,6,8,11,18,23,18,11,18,5,5,7,9,7,8,10,9,7,7,10,9,0,1,5.6,7.4,7.9,5.9,6.6,5.3,0.4
145,171,1,24,29,1,9,20,11,20,20,20,11,6,8,9,5,8,3,11,18,23,18,11,18,5,5,7,9,7,9,9,9,7,8,5,8,0,1,5.6,7.4,7.9,5.9,6.6,5.3,0.4
145,172,1,24,27,1,9,18,18,22,20,16,7,2,7,9,2,4,2,11,18,23,18,11,18,5,5,7,9,7,9,9,9,7,8,7,9,0,0,5.6,7.4,7.9,5.9,6.6,5.3,0.4
145,173,1,24,22,1,9,18,18,20,20,16,6,4,6,6,5,5,5,11,18,23,18,11,18,5,5,7,9,7,8,10,10,10,10,10,10,0,0,5.6,7.4,7.9,5.9,6.6,5.3,0.4
146,164,1,36,27,1,1,21,23,21,18,3,15,9,10,10,8,8,8,18,18,18,18,14,14,8,8,8,8,8,10,9,10,10,8,8,10,1,1,9,10,10,8,8,8,1
147,158,1,26,23,0,3,19,19,19,19,10,14,9,7,7,9,8,6,18,18,20,18,16,10,8,7,8,9,7,5,5,8,5,5,5,5,0,1,6.3,7.2,7,7.9,6.3,5.5,0.4
147,159,1,26,28,0,3,16,20,20,20,11,11,6,6,6,6,6,3,18,18,20,18,16,10,8,7,8,9,7,5,6,8,5,5,4,5,0,0,6.3,7.2,7,7.9,6.3,5.5,0.4
147,160,1,26,29,0,3,16,18,18,18,14,16,8,10,9,8,8,7,18,18,20,18,16,10,8,7,8,9,7,8,6,7,8,9,7,8,1,1,6.3,7.2,7,7.9,6.3,5.5,0.4
147,161,1,26,22,0,3,17,19,19,19,19,8,7,8,9,10,6,6,18,18,20,18,16,10,8,7,8,9,7,7,6,7,6,6,5,6,0,0,6.3,7.2,7,7.9,6.3,5.5,0.4
147,162,1,26,27,1,3,15,15,20,17,13,20,5,7,7,8,7,5,18,18,20,18,16,10,8,7,8,9,7,5,6,6,6,5,4,5,0,1,6.3,7.2,7,7.9,6.3,5.5,0.4
147,163,1,26,26,0,3,12,20,20,20,16,12,7,9,7,8,7,8,18,18,20,18,16,10,8,7,8,9,7,7,8,8,7,7,8,8,0,0,6.3,7.2,7,7.9,6.3,5.5,0.4
147,164,1,26,27,0,3,21,23,21,18,3,15,9,6,6,8,6,5,18,18,20,18,16,10,8,7,8,9,7,6,8,8,6,6,5,5,0,0,6.3,7.2,7,7.9,6.3,5.5,0.4
147,165,1,26,30,0,3,17,12,21,19,12,19,7,8,8,10,8,5,18,18,20,18,16,10,8,7,8,9,7,7,7,7,5,6,5,6,0,1,6.3,7.2,7,7.9,6.3,5.5,0.4
147,167,1,26,23,0,3,19,14,19,16,16,16,3,6,5,8,2,4,18,18,20,18,16,10,8,7,8,9,7,6,6,6,6,6,5,6,0,0,6.3,7.2,7,7.9,6.3,5.5,0.4
147,168,1,26,23,1,3,11,18,18,18,18,18,4,7,8,7,5,7,18,18,20,18,16,10,8,7,8,9,7,4,8,8,4,4,3,4,0,0,6.3,7.2,7,7.9,6.3,5.5,0.4
147,170,1,26,28,1,3,16,21,19,19,14,12,7,7,7,6,6,7,18,18,20,18,16,10,8,7,8,9,7,4,7,8,4,6,4,5,0,1,6.3,7.2,7,7.9,6.3,5.5,0.4
147,171,1,26,29,0,3,20,11,20,20,20,11,5,6,7,9,7,4,18,18,20,18,16,10,8,7,8,9,7,4,7,9,4,6,3,5,0,0,6.3,7.2,7,7.9,6.3,5.5,0.4
